Product ID,Product Position,Promotion,Seasonal,Sales Volume,price,terms,section
152563,,,,2572,169.0,2,
115153,,,,1736,79.9,2,
125938,,,,1204,49.9,2,
122809,,,,1592,49.9,2,
181502,,,,2591,39.9,2,
182779,,,,2097,35.9,2,
155674,,,,897,49.9,2,
182866,,,,1552,39.9,2,
148230,,,,2494,59.9,2,
126979,,,,2141,49.9,2,
135521,,,,2835,39.9,2,
185809,,,,622,49.9,2,
171520,,,,2901,47.9,2,
122926,,,,867,45.9,2,
150953,,,,2434,35.9,2,
115873,,,,2606,59.9,2,
115581,,,,2728,47.9,2,
183634,,,,2778,27.9,2,
122484,,,,558,47.9,2,
183574,,,,1752,47.9,2,
185307,,,,2743,7.99,2,
118719,,,,1669,45.9,2,
134788,,,,2179,45.9,2,
140142,,,,606,49.9,2,
153997,,,,1608,45.9,2,
123230,,,,880,69.9,1,
154676,,,,943,69.9,1,
152985,,,,1049,89.9,1,
175584,,,,2084,69.9,5,
147491,,,,1563,59.9,5,
198283,,,,1558,69.9,5,
141547,,,,1426,69.9,5,
156342,,,,1466,109.0,5,
186083,,,,624,49.9,5,
171776,,,,1685,12.99,5,
134429,,,,2914,69.9,5,
172816,,,,1524,69.9,2,
136272,,,,2887,12.99,2,
193227,,,,1778,69.9,2,
165786,,,,1278,59.9,2,
174708,,,,529,59.9,2,
142257,,,,1180,19.9,3,
126146,,,,2759,39.9,3,
129134,,,,1831,29.9,3,
129898,,,,1866,39.9,3,
189692,,,,1553,39.9,3,
154846,,,,917,39.9,3,
122307,,,,702,49.9,3,
182099,,,,1978,39.9,3,
159816,,,,1961,27.9,3,
165326,,,,1188,45.9,3,
185154,,,,996,39.9,3,
141330,,,,1915,39.9,3,
158958,,,,903,45.9,3,
155010,,,,729,45.9,3,
135857,,,,2045,45.9,3,
147690,,,,881,39.9,3,
130321,,,,2093,39.9,3,
196752,,,,2227,45.9,3,
181011,,,,994,89.9,4,
139967,,,,2634,69.9,3,
162699,,,,2732,89.9,2,
119044,,,,1140,169.0,2,
121348,,,,1008,169.0,3,
163982,,,,2685,69.9,3,
185774,,,,1145,19.99,3,
144651,,,,1791,139.0,3,
195103,,,,2849,109.0,3,
123047,,,,2985,109.0,3,
123077,,,,1603,109.0,3,
171860,,,,707,109.0,3,
149487,,,,1258,99.9,3,
168516,,,,2168,89.9,3,
177771,,,,1764,69.9,3,
172015,,,,2622,139.0,3,
118985,,,,694,139.0,3,
112194,,,,2187,109.0,1,
113435,,,,2973,129.0,1,
159182,,,,1014,169.0,1,
199233,,,,2222,159.0,1,
137044,,,,2534,12.99,1,
154736,,,,1466,19.9,1,
141434,,,,2870,39.9,1,
